"CONVERTED TYPES OF ENERGY";"CG Manufacture of plastic, glass and concrete";13905009;15489925;10167379;9535131;10496832;9893830;10022079;10709742;10327401;9592023;10318040;11293271;11854151;10661435;9124543;9595311;8800755;8673005;8826628;8554253;9021287;9314891;9309553;9322144;9527606;9282146;9460496;9095864;9533589;9895846;10033471;9870644;9683891;9676370;9461766;9151129;9507760;10361210;9745178;9622149;10703268;10006384;8517912;7549036;7077919;6742553;6394484;6990526;7223478;6665526;7112523;7307959;7214324;6173101;6416135;7119361;6962303
"CONVERTED TYPES OF ENERGY";"22000 Manufacture of rubber and plastic products";4241197;4738056;2965223;2708617;3043500;2865277;2966965;3242446;3072159;2988033;3151794;3079599;3393934;2949133;3045488;3521072;3244278;3332352;3658108;3601368;3812176;3944798;4204857;4019741;4202043;3962973;4281506;4065095;4200764;4377355;4472918;4602050;4609433;4227161;4233195;4057902;4216848;4900116;4605167;4414287;4779768;4217740;3797829;3549215;3391888;3222099;2776453;3029734;3128121;2840912;2898488;2969074;2921693;2519714;2462758;2727238;..
"CONVERTED TYPES OF ENERGY";"220000 Manufacture of rubber and plastic products";4241197;4738056;2965223;2708617;3043500;2865277;2966965;3242446;3072159;2988033;3151794;3079599;3393934;2949133;3045488;3521072;3244278;3332352;3658108;3601368;3812176;3944798;4204857;4019741;4202043;3962973;4281506;4065095;4200764;4377355;4472918;4602050;4609433;4227161;4233195;4057902;4216848;4900116;4605167;4414287;4779768;4217740;3797829;3549215;3391888;3222099;2776453;3029734;3128121;2840912;2898488;2969074;2921693;2519714;2462758;2727238;..
"CONVERTED TYPES OF ENERGY";"23000 Manufacture of other non-metallic mineral products";9663812;10751869;7202156;6826514;7453332;7028553;7055114;7467296;7255242;6603990;7166246;8213672;8460217;7712302;6079055;6074239;5556477;5340652;5168521;4952885;5209111;5370093;5104696;5302403;5325563;5319173;5178991;5030769;5332824;5518490;5560554;5268594;5074458;5449209;5228571;5093227;5290912;5461094;5140011;5207862;5923500;5788644;4720084;3999821;3686031;3520454;3618031;3960792;4095357;3824614;4214035;4338885;4292632;3653387;3953377;4392124;..
"CONVERTED TYPES OF ENERGY";"230010 Manufacture of glass and ceramic products";3059286;3354053;2654256;2719703;2855337;2699224;2571594;2518272;2575359;2096191;1929060;2130061;1923923;1656564;1577728;1838497;1754185;1783959;1746308;1447739;1376964;1306195;1144687;1460335;1410359;1407845;1274706;1315604;1408125;1589711;1309658;1225549;1208025;1385586;1353563;1314676;1365232;1284658;1208509;1113786;1299780;1311710;1083356;900936;834854;769104;757086;836206;870215;791102;805718;841222;842951;583753;758474;843841;..
"CONVERTED TYPES OF ENERGY";"230020 Manufacture of concrete and bricks";6604526;7397816;4547900;4106811;4597995;4329329;4483520;4949024;4679882;4507798;5237186;6083611;6536295;6055738;4501328;4235742;3802292;3556693;3422213;3505147;3832147;4063898;3960010;3842068;3915204;3911328;3904285;3715165;3924699;3928779;4250896;4043045;3866433;4063624;3875008;3778551;3925680;4176436;3931502;4094076;4623721;4476934;3636728;3098885;2851177;2751349;2860945;3124586;3225142;3033512;3408317;3497663;3449681;3069634;3194903;3548283;..
"CONVERTED TYPES OF ENERGY";"CH Basic metals and fabricated metal products";8294986;9256107;5968118;5602808;6228667;5828501;5932568;6441729;6623297;5751264;7754103;8607484;10419770;10019158;8914433;9691179;8961769;9009612;9674459;9015785;8633379;8998428;10309712;9953803;10094911;9380677;9383898;8668076;9495967;9529459;10085648;9652692;9259192;9191137;9423050;9632464;8233545;7754103;7251411;7493352;8248755;7774942;7110307;5884364;5509990;5097451;4666169;5320718;5739604;5179926;5315679;5460599;5388046;4527385;4343087;4794057;4680530
"CONVERTED TYPES OF ENERGY";"24000 Manufacture of basic metals";4425350;4958869;3127356;2893524;3242832;3051157;3096328;3425351;3366702;3068461;4696426;5552477;6793168;6312806;5273459;5571812;5126169;5112260;5597162;5102440;4625913;4771600;5622776;5208577;5201446;4703778;4880147;4527183;4772735;4727225;5071711;4941004;4729948;5411166;5637169;5844927;4295925;3485355;3264654;3328754;3486813;3071183;2614027;1465528;1424493;1487004;1755815;2162509;2486165;2260546;2220905;2338074;2360966;1949452;1816155;2014928;..
"CONVERTED TYPES OF ENERGY";"240000 Manufacture of basic metals";4425350;4958869;3127356;2893524;3242832;3051157;3096328;3425351;3366702;3068461;4696426;5552477;6793168;6312806;5273459;5571812;5126169;5112260;5597162;5102440;4625913;4771600;5622776;5208577;5201446;4703778;4880147;4527183;4772735;4727225;5071711;4941004;4729948;5411166;5637169;5844927;4295925;3485355;3264654;3328754;3486813;3071183;2614027;1465528;1424493;1487004;1755815;2162509;2486165;2260546;2220905;2338074;2360966;1949452;1816155;2014928;..
"CONVERTED TYPES OF ENERGY";"25000 Manufacture of fabricated metal products";3869636;4297238;2840763;2709284;2985835;2777344;2836239;3016378;3256594;2682803;3057677;3055007;3626603;3706352;3640973;4119368;3835599;3897352;4077297;3913345;4007465;4226827;4686936;4745226;4893465;4676899;4503751;4140893;4723232;4802234;5013937;4711689;4529244;3779970;3785881;3787537;3937620;4268747;3986757;4164598;4761942;4703759;4496279;4418835;4085498;3610447;2910354;3158209;3253439;2919379;3094774;3122525;3027081;2577932;2526932;2779128;..
